COUNTRY	AUT	CHE	BLX	ESP	FIN	FRA	GBR	GRC	ITA	RFA	SWE	TUR	NOR	BGR	HUN	POL	RCEU	RCZ	ROM	MEME	NOA	EGY	GOLF	WAF	EAF	SAF	RSA	KAZ	RIS	RUS	RUE	UKR	COR	JPN	AUS	NZL	PAC	MON	CHN	TWN	RSAS	NDE	IDN	THA	MYS	PHL	VNM	RSEA	CAN	USA	BRA	MEX	RCAM	CHL	ARG	RSAM	Ship	Air	Ocean	EUR
RSA	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
KAZ	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
RIS	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
RUS	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
RUE	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
UKR	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
COR	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
JPN	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
AUS	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
NZL	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
PAC	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
MON	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
CHN	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
TWN	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
RSAS	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
NDE	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
IDN	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
THA	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
MYS	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
PHL	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
VNM	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
RSEA	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
CAN	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
USA	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
BRA	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
MEX	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
RCAM	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
CHL	1.466	1.76	1.844	1.623	0	1.803	0	1.534	1.576	1.656	0	1.466	0	1.334	1.423	1.468	1.319	1.478	1.321	1.667	1.611	2.031	1.763	0.5676	0.6253	1.177	0.7148	1.119	1.47	1.202	0.9309	1.254	2	1.533	0.7191	0.916	0.7113	1.61	1.162	1.63	1.043	0.8437	0.7098	0.7736	0.718	0.8186	0.7605	0.7757	0.9708	0.9976	0.5173	0.8089	0.8247	0.8731	0.5108	0.4866	0	0	1.12	0
